umc
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
overhead=0.0100,  0.3369,0.1290,0.1985,0.2661,0.2472,0.0919,0.3697,0.2300,0.1772
overhead=0.0500,  0.4419,0.2716,0.3877,0.4258,0.3231,0.1885,0.4222,0.4144,0.2521
overhead=0.1000,  0.5141,0.3538,0.4951,0.5628,0.6610,0.2368,0.5763,0.6036,0.2973
#overhead=0.3000,  0.8028,0.5643,0.7159,0.7906,1.0000,0.4264,1.0000,1.0000,0.5247
overhead=0.5000,  1.0000,0.9608,0.9553,0.9057,1.0000,0.6088,1.0000,1.0000,0.7007
#overhead=0.7000,  1.0000,1.0000,1.0000,0.9687,1.0000,0.7631,1.0000,1.0000,0.8988
overhead=1.0000,  1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
