Average
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref,average
1.1x,1.86638105173,2.87206253233,4.21828334744,4.53801529667,1.64731609856,2.0907343756,2.91201015718,3.59398276827,3.453021195,3.0213118692
1.5x,1.1255424464,1.23513846987,3.14205385821,2.78540353399,1.71275937586,0.639322296559,1.7839308274,1.33094874113,2.33855598123,1.78818394785
2.0x,0.838118505711,0.930796648565,3.02794241892,1.46822749856,1.03236504665,0.58398682266,1.81838563384,1.96996495369,1.8528070273,1.50251050621
4.0x,0.683127110808,0.467419008063,1.72020753088,0.0,0.944545083832,0.40647098212,1.24208624275,0.844521419976,1.4844310003,0.865867597636
6.0x,0.636127646843,0.117060888391,0.956052687363,0.0,0.539728426895,0.29435305477,0.691378577208,0.608195970884,1.15426743221,0.555240520507
8.0x,0.0,0.0,0.0,0.0,0.0,0.0696081152874,0.0,0.0,0.789408460555,0.0954462862047

Min
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref,average
1.1x,1.66962873529,2.64970267877,3.94716859673,4.27383237924,0.877286824862,2.08164951171,2.40240920392,2.83594932528,3.41313632424,2.57239513321
1.5x,1.02703452392,1.06496151269,3.09904653734,2.65304621322,1.39126539248,0.628474354185,1.54151625409,0.589623721923,2.29351827187,1.57915943103
2.0x,0.805228436455,0.778578737181,2.8817692824,1.37732757745,0.728030701128,0.5827332614,1.57546950081,1.29473563649,1.8420392849,1.31843471313
4.0x,0.618646099794,0.464093437519,1.54730301753,0.0,0.850274754625,0.403443719023,1.11567809962,0.657602096915,1.36890427537,0.737850501659
6.0x,0.563222570763,0.108061268757,0.904961164005,0.0,0.493913122876,0.292334357352,0.604154993063,0.478341186338,1.1217447755,0.502447067709
8.0x,0.0,0.0,0.0,0.0,0.0,0.0679088349185,0.0,0.0,0.75668975167,0.0916220651764

Max
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref,average
1.1x,1.66962873529,2.87206253233,4.21828334744,4.53801529667,0.877286824862,2.08164951171,2.40240920392,2.83594932528,3.41313632424,1.35437434624
1.5x,1.02703452392,1.23513846987,3.14205385821,2.78540353399,1.71275937586,0.639322296559,1.54151625409,0.589623721923,2.33855598123,0.682223845868
2.0x,0.805228436455,0.778578737181,3.02794241892,1.46822749856,0.728030701128,0.58398682266,1.57546950081,1.96996495369,1.8420392849,0.650569286062
4.0x,0.683127110808,0.464093437519,1.54730301753,0.0,0.944545083832,0.403443719023,1.24208624275,0.844521419976,1.4844310003,0.790429455057
6.0x,0.636127646843,0.117060888391,0.956052687363,0.0,0.493913122876,0.292334357352,0.604154993063,0.478341186338,1.15426743221,0.422947211448
8.0x,0.0,0.0,0.0,0.0,0.0,0.0679088349185,0.0,0.0,0.75668975167,0.0916220651764

