,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref,geomean
UMC,6.20665430576,6.93084076593,6.19594369555,2.61795051874,5.39228952408,9.71779544161,5.01506020927,3.56709262378,9.82450984232,5.70741454598
BC,2.6583888606,5.61550135602,4.4580621971,1.5141228697,1.2592943529,13.6474914045,1.11418824135,1.02199511732,3.35781853898,2.65797565335
DIFT,1.26084345812,1.04860047869,1.00717798729,1.01400699785,1.13019343989,1.15736672151,1.12177426832,1.00026399143,1.06276709436,1.08628676083
IMP,6.66207715176,5.95856362401,5.25158037391,1.58166161155,7.33036931468,7.36870907115,7.44388637502,5.44033274016,9.52828129779,5.75014896683

