hb
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
overhead=0.0100,  0.9906,0.9096,0.7933,0.9493,0.0000,0.5888,1.0000,0.9994,0.9976
overhead=0.0500,  1.0000,0.9405,0.8291,1.0000,1.0000,0.9611,0.0000,1.0000,1.0000
overhead=0.1000,  1.0000,0.9583,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
overhead=0.3000,  1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
overhead=0.5000,  1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
overhead=0.7000,  1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
overhead=1.0000,  1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
